industry,VA,P,industryGroup,rx,ry
Air transport,1390.168544,3181.030816,Transportation and communication,559,752
Warehousing,415.7586404,630.2125827,Transportation and communication,736,975
Support activities for land transport,761.5781762,1182.047777,Transportation and communication,931,626
Other support activities for transport,1337.607704,2133.76627,Transportation and communication,627,179
Postal and courier activities,177.3140824,302.6886537,Transportation and communication,420,463
Wireless telecommunications,1163.536537,2685.85608,Transportation and communication,473,916
Wired telecommunications,617.6187024,1359.83638,Transportation and communication,299,894
Other telecommunications activities,507.6498703,1759.812485,Transportation and communication,329,925
Information services activities,1860.113018,2974.054875,Transportation and communication,483,655
Publishing activities,462.6130679,1238.227571,Transportation and communication,827,616
Banking monetary intermediation,5809.74054,8190.92003,Banking and finance,3,293
Insurance activities,709.3250243,2371.120435,Banking and finance,724,525
Auxiliary financial activities,976.1805081,2051.835411,Banking and finance,175,553
Real estate activities,3688.810047,5207.414889,Real estate and housing,959,134
Housing services,8233.270464,10383.9513,Real estate and housing,236,633
Legal and accounting services,2015.392902,2583.803105,Business services,210,8
Architectural and engineering services,4240.891457,6340.062076,Business services,530,890
Other professional activities,4192.283607,6121.569972,Business services,558,270
Rental and leasing activities,1563.454707,2628.397304,Business services,939,368
Business support activities,4549.27842,6657.88766,Business services,359,958
Public administration,7497.93612,10736.60407,Governmental services,289,142
Public education,4745.496271,5884.843278,Personal services,991,887
Private education,2898.583065,3943.727713,Personal services,887,28
Public health activities,3368.332804,4959.985811,Personal services,498,13
Private health activities,3541.152925,6085.426731,Personal services,682,61
Activities of organizations,716.86323,1205.854296,Personal services,456,141
Artistic and entertainment activities,723.3684071,1303.13509,Personal services,188,487
Other personal services,1680.685249,1993.789255,Personal services,252,715
