industry1,industry2,value
Personal services,Transportation and communication,150.1145563
Personal services,Banking and finance,44.22096141
Personal services,Real estate and housing,11.06256392
Personal services,Business services,82.58987154
Personal services,Personal services,904.2820322000001
Personal services,Governmental services,36.36434026
Governmental services,"Agriculture, forestry and fishing",12.61175157
Governmental services,Mining,40.86117582
Governmental services,Manufacturing,120.06969879999998
Governmental services,Utilities,19.06435369
Governmental services,Construction,17.63458364
Governmental services,"Wholesale and retail trade, food and accommodation",146.28677380000002
Governmental services,Transportation and communication,104.79771269999999
Governmental services,Banking and finance,11.76963868
Governmental services,Real estate and housing,4.4267006989999995
Governmental services,Business services,27.19296154
Governmental services,Personal services,42.81781822
Governmental services,Governmental services,36.90386245
