industry1,industry2,value
Cultivation of annual crops,Manufacture of leather products,4.142671479
Cultivation of annual crops,Manufacture of footwear,13.22970688
Cultivation of annual crops,Sawmilling and planing of wood,225.11256
Cultivation of annual crops,Manufacture of wood products,207.3198973
Cultivation of annual crops,Manufacture of pulp and paper,200.6524668
Cultivation of annual crops,Manufacture of containers of paper,75.31417982
Cultivation of annual crops,Manufacture of other paper products,149.951203
Cultivation of annual crops,Printing,109.0193772
Cultivation of annual crops,Manufacture of refined petroleum products,147.653122
Cultivation of annual crops,Manufacture of basic chemicals,160.3201164
Cultivation of annual crops,Manufacture of paints,56.8571099
Cultivation of annual crops,Manufacture of pharmaceutical products,857.8053714
Cultivation of annual crops,Manufacture of soap detergents and toilet products,517.7181551
Cultivation of annual crops,Manufacture of other chemical products,106.2636819
Cultivation of annual crops,Manufacture of rubber products,2.258750203
Cultivation of annual crops,Manufacture of plastic products,105.5041981
Cultivation of annual crops,Manufacture of glass and glass products,25.20603523
Cultivation of annual crops,Manufacture of cement,94.51039146
Cultivation of annual crops,Manufacture of concrete and concrete products,263.1085629
Cultivation of annual crops,Manufacture of basic iron and steel,62.94308307
Cultivation of annual crops,Manufacture of other basic metals,28.39892344
Cultivation of annual crops,Manufacture of fabricated metal products,324.939367
Cultivation of annual crops,Manufacture of industrial and domestic machinery and equipment,152.6085721
Cultivation of annual crops,Manufacture of electric and electronic machinery and equipment,51.07644274
Cultivation of annual crops,Manufacture of transport equipment,94.61056552
Cultivation of annual crops,Manufacture of furniture,87.79519356
Cultivation of annual crops,Repair and installation of machinery and other manufacturing,66.5542059
Cultivation of annual crops,Electric power generation,123.0253645
Cultivation of annual crops,Transmission of electric power,1.423858291
Cultivation of annual crops,Distribution of electric power,13.16285215
Cultivation of annual crops,Gas and steam manufacture and supply,368.3765903
Cultivation of annual crops,Water collection treatment and supply,20.38917896
Cultivation of annual crops,Waste collection and recycling activities,12.92523207
Cultivation of annual crops,Construction of residential buildings,687.758395
Cultivation of annual crops,Construction of non-residential buildings,407.3287351
Cultivation of annual crops,Civil engineering,2444.947164
Cultivation of annual crops,Specialized construction activities,696.116143
Cultivation of annual crops,Wholesale and retail trade of motor vehicles,298.9399028
Cultivation of annual crops,Wholesale trade,10172.48531
Cultivation of annual crops,Retail trade,1232.40027
Cultivation of annual crops,Accommodation,106.3342287
Cultivation of annual crops,Food and beverage service activities,64484.43028
Cultivation of annual crops,Transport via railways,20.91543768
Cultivation of annual crops,Other passenger land transport,45.27627482
Cultivation of annual crops,Freight transport by road,59.24387324
Cultivation of annual crops,Transport via pipeline,0.093749662
Cultivation of annual crops,Water transport,11.41178818
Cultivation of annual crops,Air transport,125.5910376
Cultivation of annual crops,Warehousing,53.18161907
Cultivation of annual crops,Support activities for land transport,89.65900483
Cultivation of annual crops,Other support activities for transport,31.34602033
Cultivation of annual crops,Postal and courier activities,6.859361939
Cultivation of annual crops,Wireless telecommunications,250.8528344
Cultivation of annual crops,Wired telecommunications,80.41391218
Cultivation of annual crops,Other telecommunications activities,317.7820378
Cultivation of annual crops,Information services activities,506.7279712
Cultivation of annual crops,Publishing activities,222.7802344
Cultivation of annual crops,Banking monetary intermediation,879.9727419
Cultivation of annual crops,Insurance activities,520.7456455
Cultivation of annual crops,Auxiliary financial activities,225.5031492
Cultivation of annual crops,Real estate activities,464.1964748
Cultivation of annual crops,Housing services,0
Cultivation of annual crops,Legal and accounting services,336.2421246
Cultivation of annual crops,Architectural and engineering services,664.8014457
Cultivation of annual crops,Other professional activities,4328.027342
Cultivation of annual crops,Rental and leasing activities,217.3693133
Cultivation of annual crops,Business support activities,7145.521209
Cultivation of annual crops,Public administration,5241.174915
Cultivation of annual crops,Public education,383.8252888
Cultivation of annual crops,Private education,622.9609722
Cultivation of annual crops,Public health activities,869.6823375
Cultivation of annual crops,Private health activities,333.2759799
Cultivation of annual crops,Activities of organizations,86.98948567
Cultivation of annual crops,Artistic and entertainment activities,124.913887
Cultivation of annual crops,Other personal services,9.445046281
Cultivation of vegetables,Cultivation of annual crops,11508.27842
Cultivation of vegetables,Cultivation of vegetables,43796.0607
Cultivation of vegetables,Cultivation of grapes,131.8789955
Cultivation of vegetables,Cultivation of other fruits,1279.248586
Cultivation of vegetables,Cattle bredding,33076.51525
Cultivation of vegetables,Pigs breeding,177.461086
Cultivation of vegetables,Chicken breeding,8632.952446
Cultivation of vegetables,Breeding of other animals,2377.342687
Cultivation of vegetables,Farming services,153.6421477
Cultivation of vegetables,Forestry,4997.020459
Cultivation of vegetables,Aquaculture,0.327864387
Cultivation of vegetables,Extractive fishing,28.08456327
Cultivation of vegetables,Coal mining,0.009599594
Cultivation of vegetables,Crude oil and gas mining,0.12119993
Cultivation of vegetables,Copper mining,42.30071266
Cultivation of vegetables,Iron mining,0.023927568
Cultivation of vegetables,Mining of other metals,0.104595007
Cultivation of vegetables,Other mining activities and mining services,0.199467073
Cultivation of vegetables,Processing and preserving of meat,143.4675285
Cultivation of vegetables,Processing and preserving of fishmeal and fish oil,0.562096589
Cultivation of vegetables,Processing and preserving of fish,7.876496121
Cultivation of vegetables,Processing and preserving of fruits and vegetables,54368.56782
Cultivation of vegetables,Manufacture of vegetable and animal oils,7303.998761
Cultivation of vegetables,Manufacture of dairy products,22.32830587
Cultivation of vegetables,Manufacture of grain mill products,43109.81184
Cultivation of vegetables,Manufacture of prepared animal feeds,35308.86368
Cultivation of vegetables,Manufacture of bakery products,5243.164813
Cultivation of vegetables,Manufacture of macaroni noodles and other related products,13.33689484
Cultivation of vegetables,Manufacture of other food products,19264.36206
Cultivation of vegetables,Distilling rectifying and blending of spirits,1.61757482
Cultivation of vegetables,Manufacture of wines,30.7346827
Cultivation of vegetables,Manufacture of beers,413.4177693
Cultivation of vegetables,Manufacture of soft drinks,17.08018734
Cultivation of vegetables,Manufacture of tobacco products,1141.194929
Cultivation of vegetables,Manufacture of textile products,451.7308781
Cultivation of vegetables,Manufacture of wearing apparel,9.285763232
Cultivation of vegetables,Manufacture of leather products,0.127120473
Cultivation of vegetables,Manufacture of footwear,0.429882138
Cultivation of vegetables,Sawmilling and planing of wood,10.59232048
Cultivation of vegetables,Manufacture of wood products,7.918783767
Cultivation of vegetables,Manufacture of pulp and paper,8.991317257
Cultivation of vegetables,Manufacture of containers of paper,2.774807394
Cultivation of vegetables,Manufacture of other paper products,8.05718882
Cultivation of vegetables,Printing,5.373684139
Cultivation of vegetables,Manufacture of refined petroleum products,8.49082618
Cultivation of vegetables,Manufacture of basic chemicals,8.354966883
Cultivation of vegetables,Manufacture of paints,2.779165703
Cultivation of vegetables,Manufacture of pharmaceutical products,105.3727411
Cultivation of vegetables,Manufacture of soap detergents and toilet products,79.68701304
Cultivation of vegetables,Manufacture of other chemical products,53.27924443
Cultivation of vegetables,Manufacture of rubber products,0.221193451
Cultivation of vegetables,Manufacture of plastic products,3.622343735
Cultivation of vegetables,Manufacture of glass and glass products,1.718477367
Cultivation of vegetables,Manufacture of cement,3.73923632
Cultivation of vegetables,Manufacture of concrete and concrete products,10.80623373
Cultivation of vegetables,Manufacture of basic iron and steel,2.039048981
Cultivation of vegetables,Manufacture of other basic metals,1.734401852
Cultivation of vegetables,Manufacture of fabricated metal products,19.34523833
Cultivation of vegetables,Manufacture of industrial and domestic machinery and equipment,5.019817253
Cultivation of vegetables,Manufacture of electric and electronic machinery and equipment,3.198938287
Cultivation of vegetables,Manufacture of transport equipment,3.997230078
Cultivation of vegetables,Manufacture of furniture,8.657157432
Cultivation of vegetables,Repair and installation of machinery and other manufacturing,2.589211205
Cultivation of vegetables,Electric power generation,4.127920712
Cultivation of vegetables,Transmission of electric power,0.198972828
Cultivation of vegetables,Distribution of electric power,3.314008047
Cultivation of vegetables,Gas and steam manufacture and supply,11.56670704
Cultivation of vegetables,Water collection treatment and supply,1.268979985
Cultivation of vegetables,Waste collection and recycling activities,1.369195577
Cultivation of vegetables,Construction of residential buildings,79.54043408
Cultivation of vegetables,Construction of non-residential buildings,62.68836963
Cultivation of vegetables,Civil engineering,511.3283208
Cultivation of vegetables,Specialized construction activities,144.4552847
Cultivation of vegetables,Wholesale and retail trade of motor vehicles,12.27288522
Cultivation of vegetables,Wholesale trade,1814.855291
Cultivation of vegetables,Retail trade,61.55628629
Cultivation of vegetables,Accommodation,10182.2936
Cultivation of vegetables,Food and beverage service activities,57206.14031
Cultivation of vegetables,Transport via railways,0.947806802
Cultivation of vegetables,Other passenger land transport,1.862919372
Cultivation of vegetables,Freight transport by road,2.914484247
Cultivation of vegetables,Transport via pipeline,0.044053042
Cultivation of vegetables,Water transport,0.755127271
Cultivation of vegetables,Air transport,11.78196906
Cultivation of vegetables,Warehousing,1.691400546
Cultivation of vegetables,Support activities for land transport,3.866185372
Cultivation of vegetables,Other support activities for transport,6.620679595
Cultivation of vegetables,Postal and courier activities,0.207879802
Cultivation of vegetables,Wireless telecommunications,11.4346622
Cultivation of vegetables,Wired telecommunications,14.80930794
Cultivation of vegetables,Other telecommunications activities,11.75026686
Cultivation of vegetables,Information services activities,77.70283309
Cultivation of vegetables,Publishing activities,8.605330249
Cultivation of vegetables,Banking monetary intermediation,78.03740843
Cultivation of vegetables,Insurance activities,26.84036872
Cultivation of vegetables,Auxiliary financial activities,17.05653574
Cultivation of vegetables,Real estate activities,15.71412326
Cultivation of vegetables,Housing services,0
Cultivation of vegetables,Legal and accounting services,12.46323907
Cultivation of vegetables,Architectural and engineering services,31.23474484
Cultivation of vegetables,Other professional activities,681.6270073
Cultivation of vegetables,Rental and leasing activities,10.31989342
Cultivation of vegetables,Business support activities,1327.869006
Cultivation of vegetables,Public administration,8271.884068
Cultivation of vegetables,Public education,1094.263489
Cultivation of vegetables,Private education,1232.350023
Cultivation of vegetables,Public health activities,4241.916502
Cultivation of vegetables,Private health activities,5065.399385
Cultivation of vegetables,Activities of organizations,11254.30419
Cultivation of vegetables,Artistic and entertainment activities,6.990679947
Cultivation of vegetables,Other personal services,0.903739006
Cultivation of grapes,Cultivation of annual crops,39.57161075
Cultivation of grapes,Cultivation of vegetables,22.55069287
Cultivation of grapes,Cultivation of grapes,0.790065911
Cultivation of grapes,Cultivation of other fruits,5.033277617
Cultivation of grapes,Cattle bredding,114.3921503
Cultivation of grapes,Pigs breeding,0.683723186
Cultivation of grapes,Chicken breeding,29.89172457
Cultivation of grapes,Breeding of other animals,8.190351911
Cultivation of grapes,Farming services,0.641245616
Cultivation of grapes,Forestry,17.51931645
Cultivation of grapes,Aquaculture,0.056088474
Cultivation of grapes,Extractive fishing,0.149816751
Cultivation of grapes,Coal mining,0.001516437
Cultivation of grapes,Crude oil and gas mining,0.212019119
Cultivation of grapes,Copper mining,56.14948613
Cultivation of grapes,Iron mining,0.022661095
Cultivation of grapes,Mining of other metals,0.124343448
Cultivation of grapes,Other mining activities and mining services,0.105156109
Cultivation of grapes,Processing and preserving of meat,4.239443184
Cultivation of grapes,Processing and preserving of fishmeal and fish oil,0.200488518
Cultivation of grapes,Processing and preserving of fish,1.720637271
Cultivation of grapes,Processing and preserving of fruits and vegetables,12448.73414
Cultivation of grapes,Manufacture of vegetable and animal oils,25.40903798
Cultivation of grapes,Manufacture of dairy products,13.91008007
Cultivation of grapes,Manufacture of grain mill products,154.0675165
Cultivation of grapes,Manufacture of prepared animal feeds,125.2072438
Cultivation of grapes,Manufacture of bakery products,27.07299884
Cultivation of grapes,Manufacture of macaroni noodles and other related products,0.145636028
Cultivation of grapes,Manufacture of other food products,55.687139
Cultivation of grapes,Distilling rectifying and blending of spirits,17825.17903
Cultivation of grapes,Manufacture of wines,233677.195
Cultivation of grapes,Manufacture of beers,4.444963618
Cultivation of grapes,Manufacture of soft drinks,17.49710885
Cultivation of grapes,Manufacture of tobacco products,4.153743961
Cultivation of grapes,Manufacture of textile products,5.147307154
Cultivation of grapes,Manufacture of wearing apparel,10.71742571
Cultivation of grapes,Manufacture of leather products,0.023233735
Cultivation of grapes,Manufacture of footwear,0.125927637
Cultivation of grapes,Sawmilling and planing of wood,9.230870063
Cultivation of grapes,Manufacture of wood products,4.5300063
Cultivation of grapes,Manufacture of pulp and paper,7.254540784
Cultivation of grapes,Manufacture of containers of paper,1.425289767
Cultivation of grapes,Manufacture of other paper products,8.314620808
Cultivation of grapes,Printing,4.997965023
Cultivation of grapes,Manufacture of refined petroleum products,9.39202332
Cultivation of grapes,Manufacture of basic chemicals,8.32865968
Cultivation of grapes,Manufacture of paints,2.556030441
Cultivation of grapes,Manufacture of pharmaceutical products,16.65974548
Cultivation of grapes,Manufacture of soap detergents and toilet products,11.84191306
Cultivation of grapes,Manufacture of other chemical products,1.117836432
Cultivation of grapes,Manufacture of rubber products,0.341129961
Cultivation of grapes,Manufacture of plastic products,1.424056795
Cultivation of grapes,Manufacture of glass and glass products,2.185061985
Cultivation of grapes,Manufacture of cement,2.344752315
Cultivation of grapes,Manufacture of concrete and concrete products,7.38512406
Cultivation of grapes,Manufacture of basic iron and steel,0.585708521
Cultivation of grapes,Manufacture of other basic metals,2.025524095
Cultivation of grapes,Manufacture of fabricated metal products,22.09526914
Cultivation of grapes,Manufacture of industrial and domestic machinery and equipment,1.584531505
Cultivation of grapes,Manufacture of electric and electronic machinery and equipment,3.815025096
Cultivation of grapes,Manufacture of transport equipment,2.896606108
Cultivation of grapes,Manufacture of furniture,13.38825878
Cultivation of grapes,Repair and installation of machinery and other manufacturing,1.55610914
Cultivation of grapes,Electric power generation,1.452965366
Cultivation of grapes,Transmission of electric power,0.343797313
Cultivation of grapes,Distribution of electric power,6.367225964
Cultivation of grapes,Gas and steam manufacture and supply,2.634422028
Cultivation of grapes,Water collection treatment and supply,1.505611527
Cultivation of grapes,Waste collection and recycling activities,2.175793002
Cultivation of grapes,Construction of residential buildings,3.118699687
Cultivation of grapes,Construction of non-residential buildings,1.183386512
Cultivation of grapes,Civil engineering,6.318977087
Cultivation of grapes,Specialized construction activities,1.290141051
Cultivation of grapes,Wholesale and retail trade of motor vehicles,8.380070031
Cultivation of grapes,Wholesale trade,74.89495712
Cultivation of grapes,Retail trade,58.25063504
Cultivation of grapes,Accommodation,337.5075298
Cultivation of grapes,Food and beverage service activities,3629.249363
Cultivation of grapes,Transport via railways,0.779067907
Cultivation of grapes,Other passenger land transport,1.278113929
Cultivation of grapes,Freight transport by road,2.703669419
Cultivation of grapes,Transport via pipeline,0.089573968
Cultivation of grapes,Water transport,0.939749021
Cultivation of grapes,Air transport,17.84980806
Cultivation of grapes,Warehousing,0.426915391
Cultivation of grapes,Support activities for land transport,2.91402793
Cultivation of grapes,Other support activities for transport,12.4135886
Cultivation of grapes,Postal and courier activities,0.032838527
Cultivation of grapes,Wireless telecommunications,9.48873675
Cultivation of grapes,Wired telecommunications,27.14138719
Cultivation of grapes,Other telecommunications activities,6.105141782
Cultivation of grapes,Information services activities,137.2557964
Cultivation of grapes,Publishing activities,5.075481938
Cultivation of grapes,Banking monetary intermediation,115.3037543
Cultivation of grapes,Insurance activities,26.40856132
Cultivation of grapes,Auxiliary financial activities,23.18671102
Cultivation of grapes,Real estate activities,5.782352742
Cultivation of grapes,Housing services,0
Cultivation of grapes,Legal and accounting services,6.525523273
Cultivation of grapes,Architectural and engineering services,27.16011149
Cultivation of grapes,Other professional activities,81.55513877
Cultivation of grapes,Rental and leasing activities,9.112139354
Cultivation of grapes,Business support activities,51.45439114
Cultivation of grapes,Public administration,283.0015107
Cultivation of grapes,Public education,2.202108679
Cultivation of grapes,Private education,5.726779513
Cultivation of grapes,Public health activities,19.63301612
Cultivation of grapes,Private health activities,656.5898857
Cultivation of grapes,Activities of organizations,485.5635753
Cultivation of grapes,Artistic and entertainment activities,7.380606758
Cultivation of grapes,Other personal services,1.380622825
Cultivation of other fruits,Cultivation of annual crops,2477.081355
Cultivation of other fruits,Cultivation of vegetables,1410.379543
Cultivation of other fruits,Cultivation of grapes,34.09607045
Cultivation of other fruits,Cultivation of other fruits,276.9051014
Cultivation of other fruits,Cattle bredding,7193.047105
Cultivation of other fruits,Pigs breeding,38.96070549
Cultivation of other fruits,Chicken breeding,1900.494672
Cultivation of other fruits,Breeding of other animals,549.7204858
Cultivation of other fruits,Farming services,33.67467524
Cultivation of other fruits,Forestry,1087.197867
Cultivation of other fruits,Aquaculture,0.451784467
Cultivation of other fruits,Extractive fishing,6.219610265
Cultivation of other fruits,Coal mining,0.013012112
Cultivation of other fruits,Crude oil and gas mining,0.495113753
Cultivation of other fruits,Copper mining,142.1875633
Cultivation of other fruits,Iron mining,0.064819899
Cultivation of other fruits,Mining of other metals,0.326718186
Cultivation of other fruits,Other mining activities and mining services,0.39669813
Cultivation of other fruits,Processing and preserving of meat,134.9955121
Cultivation of other fruits,Processing and preserving of fishmeal and fish oil,0.953500101
Cultivation of other fruits,Processing and preserving of fish,11.49362406
Cultivation of other fruits,Processing and preserving of fruits and vegetables,378772.1242
Cultivation of other fruits,Manufacture of vegetable and animal oils,1589.332836
Cultivation of other fruits,Manufacture of dairy products,2042.936014
Cultivation of other fruits,Manufacture of grain mill products,9450.604294
Cultivation of other fruits,Manufacture of prepared animal feeds,7688.058606
Cultivation of other fruits,Manufacture of bakery products,7993.75429
Cultivation of other fruits,Manufacture of macaroni noodles and other related products,0.783772652
Cultivation of other fruits,Manufacture of other food products,18754.28069
Cultivation of other fruits,Distilling rectifying and blending of spirits,2.287928989
Cultivation of other fruits,Manufacture of wines,43.24344957
Cultivation of other fruits,Manufacture of beers,100.4224761
Cultivation of other fruits,Manufacture of soft drinks,48.53611887
Cultivation of other fruits,Manufacture of tobacco products,249.7009989
Cultivation of other fruits,Manufacture of textile products,107.1879455
Cultivation of other fruits,Manufacture of wearing apparel,28.45389587
Cultivation of other fruits,Manufacture of leather products,0.177717634
Cultivation of other fruits,Manufacture of footwear,0.682218213
Cultivation of other fruits,Sawmilling and planing of wood,27.32105463
Cultivation of other fruits,Manufacture of wood products,16.35830073
Cultivation of other fruits,Manufacture of pulp and paper,22.19479319
Cultivation of other fruits,Manufacture of containers of paper,5.4541047
Cultivation of other fruits,Manufacture of other paper products,23.00002454
Cultivation of other fruits,Printing,14.40074469
Cultivation of other fruits,Manufacture of refined petroleum products,25.31834769
Cultivation of other fruits,Manufacture of basic chemicals,23.34705332
Cultivation of other fruits,Manufacture of paints,7.398352192
Cultivation of other fruits,Manufacture of pharmaceutical products,68.2156548
Cultivation of other fruits,Manufacture of soap detergents and toilet products,46.44849027
Cultivation of other fruits,Manufacture of other chemical products,5.704895459
Cultivation of other fruits,Manufacture of rubber products,0.825018852
Cultivation of other fruits,Manufacture of plastic products,6.371165991
Cultivation of other fruits,Manufacture of glass and glass products,5.611697405
Cultivation of other fruits,Manufacture of cement,8.077176695
Cultivation of other fruits,Manufacture of concrete and concrete products,24.38710439
Cultivation of other fruits,Manufacture of basic iron and steel,3.216049748
Cultivation of other fruits,Manufacture of other basic metals,5.355318056
Cultivation of other fruits,Manufacture of fabricated metal products,58.87969517
Cultivation of other fruits,Manufacture of industrial and domestic machinery and equipment,8.16202073
Cultivation of other fruits,Manufacture of electric and electronic machinery and equipment,10.01311741
Cultivation of other fruits,Manufacture of transport equipment,9.303553857
Cultivation of other fruits,Manufacture of furniture,32.35334439
Cultivation of other fruits,Repair and installation of machinery and other manufacturing,5.47721059
Cultivation of other fruits,Electric power generation,6.969063826
Cultivation of other fruits,Transmission of electric power,0.8054952
Cultivation of other fruits,Distribution of electric power,14.51561651
Cultivation of other fruits,Gas and steam manufacture and supply,17.06314169
Cultivation of other fruits,Water collection treatment and supply,3.958767172
Cultivation of other fruits,Waste collection and recycling activities,5.216993054
Cultivation of other fruits,Construction of residential buildings,32.22586531
Cultivation of other fruits,Construction of non-residential buildings,18.79282668
Cultivation of other fruits,Civil engineering,121.1049629
Cultivation of other fruits,Specialized construction activities,33.28606881
Cultivation of other fruits,Wholesale and retail trade of motor vehicles,27.68432452
Cultivation of other fruits,Wholesale trade,9934.192757
Cultivation of other fruits,Retail trade,2446.864007
Cultivation of other fruits,Accommodation,7859.04109
Cultivation of other fruits,Food and beverage service activities,73857.2695
Cultivation of other fruits,Transport via railways,2.364230726
Cultivation of other fruits,Other passenger land transport,4.212691711
Cultivation of other fruits,Freight transport by road,7.798348914
Cultivation of other fruits,Transport via pipeline,0.201419881
Cultivation of other fruits,Water transport,2.430875362
Cultivation of other fruits,Air transport,43.39503025
Cultivation of other fruits,Warehousing,2.566643162
Cultivation of other fruits,Support activities for land transport,9.191315371
Cultivation of other fruits,Other support activities for transport,28.47291049
Cultivation of other fruits,Postal and courier activities,0.28177809
Cultivation of other fruits,Wireless telecommunications,28.67690699
Cultivation of other fruits,Wired telecommunications,62.61578919
Cultivation of other fruits,Other telecommunications activities,23.21542414
Cultivation of other fruits,Information services activities,319.7010026
Cultivation of other fruits,Publishing activities,18.03851472
Cultivation of other fruits,Banking monetary intermediation,282.410272
Cultivation of other fruits,Insurance activities,74.40680999
Cultivation of other fruits,Auxiliary financial activities,58.269648
Cultivation of other fruits,Real estate activities,26.96066499
Cultivation of other fruits,Housing services,0
Cultivation of other fruits,Legal and accounting services,24.70972784
Cultivation of other fruits,Architectural and engineering services,80.46173846
Cultivation of other fruits,Other professional activities,351.3825397
Cultivation of other fruits,Rental and leasing activities,26.82194536
Cultivation of other fruits,Business support activities,420.2012842
Cultivation of other fruits,Public administration,4806.148602
Cultivation of other fruits,Public education,375.4048268
Cultivation of other fruits,Private education,584.8465089
Cultivation of other fruits,Public health activities,1684.11088
Cultivation of other fruits,Private health activities,4202.693263
Cultivation of other fruits,Activities of organizations,4097.118039
Cultivation of other fruits,Artistic and entertainment activities,64.07402417
Cultivation of other fruits,Other personal services,3.348264574
Cattle bredding,Cultivation of annual crops,14.15481631
Cattle bredding,Cultivation of vegetables,0.164949601
Cattle bredding,Cultivation of grapes,0.29798134
Cattle bredding,Cultivation of other fruits,0.599394639
Cattle bredding,Cattle bredding,7139.307048
Cattle bredding,Pigs breeding,5501.556442
Cattle bredding,Chicken breeding,40035.31038
Cattle bredding,Breeding of other animals,14.50007075
Cattle bredding,Farming services,0.09881312
Cattle bredding,Forestry,0.251389331
Cattle bredding,Aquaculture,6.83940373
Cattle bredding,Extractive fishing,0.046974967
Cattle bredding,Coal mining,0.001334858
Cattle bredding,Crude oil and gas mining,0.187782123
Cattle bredding,Copper mining,49.72113694
Cattle bredding,Iron mining,0.02006025
Cattle bredding,Mining of other metals,0.110097534
Cattle bredding,Other mining activities and mining services,0.093003882
Cattle bredding,Processing and preserving of meat,486805.9544
Cattle bredding,Processing and preserving of fishmeal and fish oil,15.65560531
Cattle bredding,Processing and preserving of fish,1.517448349
Cattle bredding,Processing and preserving of fruits and vegetables,1.82594157
Cattle bredding,Manufacture of vegetable and animal oils,842.0720035
Cattle bredding,Manufacture of dairy products,237944.6398
Cattle bredding,Manufacture of grain mill products,14.98463831
Cattle bredding,Manufacture of prepared animal feeds,3.039741079
Cattle bredding,Manufacture of bakery products,2642.742263
Cattle bredding,Manufacture of macaroni noodles and other related products,0.123436957
Cattle bredding,Manufacture of other food products,4473.470471
Cattle bredding,Distilling rectifying and blending of spirits,0.274183242
Cattle bredding,Manufacture of wines,1672.854166
Cattle bredding,Manufacture of beers,2.688445116
Cattle bredding,Manufacture of soft drinks,15.49025591
Cattle bredding,Manufacture of tobacco products,0.195584108
Cattle bredding,Manufacture of textile products,4800.049094
Cattle bredding,Manufacture of wearing apparel,9.489285284
Cattle bredding,Manufacture of leather products,563.5778411
Cattle bredding,Manufacture of footwear,0.558534793
Cattle bredding,Sawmilling and planing of wood,8.170633898
Cattle bredding,Manufacture of wood products,4.007137147
Cattle bredding,Manufacture of pulp and paper,6.420672956
Cattle bredding,Manufacture of containers of paper,1.26051094
Cattle bredding,Manufacture of other paper products,7.361020777
Cattle bredding,Printing,4.42425095
Cattle bredding,Manufacture of refined petroleum products,8.315431575
Cattle bredding,Manufacture of basic chemicals,7.373181808
Cattle bredding,Manufacture of paints,2.262595705
Cattle bredding,Manufacture of pharmaceutical products,245.6019651
Cattle bredding,Manufacture of soap detergents and toilet products,14.37092061
Cattle bredding,Manufacture of other chemical products,0.987362607
Cattle bredding,Manufacture of rubber products,0.302108969
Cattle bredding,Manufacture of plastic products,1.25861976
Cattle bredding,Manufacture of glass and glass products,1.934834079
Cattle bredding,Manufacture of cement,2.074451567
Cattle bredding,Manufacture of concrete and concrete products,7.373649697
Cattle bredding,Manufacture of basic iron and steel,0.517147556
Cattle bredding,Manufacture of other basic metals,1.793432861
Cattle bredding,Manufacture of fabricated metal products,19.56311928
Cattle bredding,Manufacture of industrial and domestic machinery and equipment,1.399519601
Cattle bredding,Manufacture of electric and electronic machinery and equipment,3.377950777
Cattle bredding,Manufacture of transport equipment,2.563274261
Cattle bredding,Manufacture of furniture,14.06721153
Cattle bredding,Repair and installation of machinery and other manufacturing,1.376620989
Cattle bredding,Electric power generation,1.283762892
Cattle bredding,Transmission of electric power,0.304493773
Cattle bredding,Distribution of electric power,5.639662556
Cattle bredding,Gas and steam manufacture and supply,2.323789136
Cattle bredding,Water collection treatment and supply,1.333112655
Cattle bredding,Waste collection and recycling activities,1.926948759
Cattle bredding,Construction of residential buildings,2.545072026
Cattle bredding,Construction of non-residential buildings,0.865602583
Cattle bredding,Civil engineering,4.042090165
Cattle bredding,Specialized construction activities,0.703031809
Cattle bredding,Wholesale and retail trade of motor vehicles,7.415051666
Cattle bredding,Wholesale trade,66.6308277
Cattle bredding,Retail trade,1569.525296
Cattle bredding,Accommodation,687.8402149
Cattle bredding,Food and beverage service activities,10639.35466
Cattle bredding,Transport via railways,0.689535268
Cattle bredding,Other passenger land transport,1.130939384
Cattle bredding,Freight transport by road,2.393309338
Cattle bredding,Transport via pipeline,0.079341045
Cattle bredding,Water transport,0.832116165
